iter	Passed	Remaining
0	89	44800
1	155	38840
2	222	36885
3	289	35909
4	363	35976
5	439	36144
6	518	36506
7	599	36895
8	681	37172
9	755	37005
10	829	36872
11	904	36794
12	980	36747
13	1059	36792
14	1122	36293
15	1194	36122
16	1266	35979
17	1344	36008
18	1432	36266
19	1504	36096
20	1614	36819
21	1707	37100
22	1794	37223
23	1877	37234
24	1954	37138
25	2030	37012
26	2105	36883
27	2180	36759
28	2259	36705
29	2351	36839
30	2422	36643
31	2493	36460
32	2559	36215
33	2635	36128
34	2714	36067
35	2800	36101
36	2873	35959
37	2945	35806
38	3024	35751
39	3102	35684
40	3183	35641
41	3263	35592
42	3343	35533
43	3427	35525
44	3511	35506
45	3587	35407
46	3661	35290
47	3728	35109
48	3810	35072
49	3886	34980
50	3955	34824
51	4031	34731
52	4121	34763
53	4192	34625
54	4270	34554
55	4327	34309
56	4391	34134
57	4445	33875
58	4497	33615
59	4557	33422
60	4611	33186
61	4672	33007
62	4726	32782
63	4792	32645
64	4862	32542
65	4917	32339
66	4973	32143
67	5036	31995
68	5086	31773
69	5136	31553
70	5204	31447
71	5254	31237
72	5315	31089
73	5377	30958
74	5442	30840
75	5525	30824
76	5582	30669
77	5639	30510
78	5716	30466
79	5776	30324
80	5849	30257
81	5902	30090
82	5964	29965
83	6029	29858
84	6088	29724
85	6151	29614
86	6209	29479
87	6265	29332
88	6322	29197
89	6385	29091
90	6444	28963
91	6507	28859
92	6565	28734
93	6631	28641
94	6687	28508
95	6742	28373
96	6803	28267
97	6887	28252
98	6942	28122
99	6992	27969
100	7048	27846
101	7099	27703
102	7163	27611
103	7223	27505
104	7275	27369
105	7336	27270
106	7398	27174
107	7448	27037
108	7500	26905
109	7560	26806
110	7629	26736
111	7681	26609
112	7746	26530
113	7804	26425
114	7877	26371
115	7929	26250
116	7981	26128
117	8043	26037
118	8093	25914
119	8141	25780
120	8202	25692
121	8259	25589
122	8321	25504
123	8374	25394
124	8426	25278
125	8479	25170
126	8526	25041
127	8572	24914
128	8620	24792
129	8676	24695
130	8732	24596
131	8792	24512
132	8841	24395
133	8889	24280
134	8942	24177
135	8992	24066
136	9051	23983
137	9104	23883
138	9155	23779
139	9207	23676
140	9258	23573
141	9318	23493
142	9378	23412
143	9442	23343
144	9500	23259
145	9551	23159
146	9602	23059
147	9655	22963
148	9711	22878
149	9762	22778
150	9818	22693
151	9869	22596
152	9923	22505
153	9980	22422
154	10039	22345
155	10085	22240
156	10148	22170
157	10195	22069
158	10249	21982
159	10307	21902
160	10371	21838
161	10432	21766
162	10487	21682
163	10536	21586
164	10584	21490
165	10639	21407
166	10686	21309
167	10735	21215
168	10792	21137
169	10851	21063
170	10902	20976
171	10955	20891
172	11008	20808
173	11064	20729
174	11126	20664
175	11176	20574
176	11228	20489
177	11277	20401
178	11324	20307
179	11372	20218
180	11425	20137
181	11478	20056
182	11529	19972
183	11580	19887
184	11646	19831
185	11703	19756
186	11756	19677
187	11809	19598
188	11867	19527
189	11917	19445
190	11969	19364
191	12023	19288
192	12078	19212
193	12130	19133
194	12176	19044
195	12243	18989
196	12292	18907
197	12345	18829
198	12395	18748
199	12453	18680
200	12514	18615
201	12569	18543
202	12625	18471
203	12682	18402
204	12732	18321
205	12791	18255
206	12843	18179
207	12894	18102
208	12945	18024
209	12996	17948
210	13043	17865
211	13096	17792
212	13156	17726
213	13214	17660
214	13271	17592
215	13322	17517
216	13382	17452
217	13434	17378
218	13492	17311
219	13541	17234
220	13589	17156
221	13634	17073
222	13685	16999
223	13735	16924
224	13792	16857
225	13848	16789
226	13903	16721
227	13954	16647
228	14008	16578
229	14063	16509
230	14108	16429
231	14162	16360
232	14223	16299
233	14283	16236
234	14331	16160
235	14386	16092
236	14435	16018
237	14493	15955
238	14547	15886
239	14609	15826
240	14660	15755
241	14720	15693
242	14769	15620
243	14826	15555
244	14881	15488
245	14935	15421
246	14994	15358
247	15050	15293
248	15100	15222
249	15151	15151
250	15203	15082
251	15259	15017
252	15314	14951
253	15365	14881
254	15425	14820
255	15481	14755
256	15532	14685
257	15590	14623
258	15643	14556
259	15701	14493
260	15765	14436
261	15827	14377
262	15878	14308
263	15929	14240
264	15983	14173
265	16029	14100
266	16075	14028
267	16135	13967
268	16180	13895
269	16229	13824
270	16305	13778
271	16353	13708
272	16401	13638
273	16449	13568
274	16507	13506
275	16557	13438
276	16614	13375
277	16668	13310
278	16720	13244
279	16774	13179
280	16838	13123
281	16890	13056
282	16941	12990
283	16993	12924
284	17051	12863
285	17111	12803
286	17160	12736
287	17223	12678
288	17286	12621
289	17338	12555
290	17389	12489
291	17450	12430
292	17508	12369
293	17554	12300
294	17615	12241
295	17671	12178
296	17729	12118
297	17777	12050
298	17828	11984
299	17876	11917
300	17929	11853
301	17987	11793
302	18039	11728
303	18095	11666
304	18152	11605
305	18207	11543
306	18270	11485
307	18322	11421
308	18374	11357
309	18435	11299
310	18492	11238
311	18549	11177
312	18603	11114
313	18648	11046
314	18701	10983
315	18770	10929
316	18816	10862
317	18872	10801
318	18925	10738
319	18974	10673
320	19023	10607
321	19083	10549
322	19138	10487
323	19188	10423
324	19241	10360
325	19293	10297
326	19348	10236
327	19394	10170
328	19447	10108
329	19495	10042
330	19546	9979
331	19599	9917
332	19650	9854
333	19702	9792
334	19757	9731
335	19808	9668
336	19857	9604
337	19913	9544
338	19966	9482
339	20023	9422
340	20078	9362
341	20134	9302
342	20192	9242
343	20239	9178
344	20286	9114
345	20336	9051
346	20404	8996
347	20457	8935
348	20531	8883
349	20581	8820
350	20628	8757
351	20681	8695
352	20738	8636
353	20792	8575
354	20843	8513
355	20890	8450
356	20947	8390
357	20998	8329
358	21054	8269
359	21104	8207
360	21158	8146
361	21211	8086
362	21274	8029
363	21333	7970
364	21385	7909
365	21433	7847
366	21493	7789
367	21544	7727
368	21610	7672
369	21670	7613
370	21728	7555
371	21785	7495
372	21841	7436
373	21894	7376
374	21951	7317
375	22008	7258
376	22069	7200
377	22124	7140
378	22185	7083
379	22244	7024
380	22297	6964
381	22352	6904
382	22408	6845
383	22468	6787
384	22516	6725
385	22562	6663
386	22622	6605
387	22676	6545
388	22726	6484
389	22785	6426
390	22840	6367
391	22899	6309
392	22953	6249
393	23000	6187
394	23052	6127
395	23116	6070
396	23171	6011
397	23225	5952
398	23280	5892
399	23333	5833
400	23382	5772
401	23439	5714
402	23499	5656
403	23560	5598
404	23624	5541
405	23680	5482
406	23736	5423
407	23787	5363
408	23842	5304
409	23893	5244
410	23947	5185
411	23999	5126
412	24047	5065
413	24101	5006
414	24156	4947
415	24210	4888
416	24270	4830
417	24321	4771
418	24372	4711
419	24425	4652
420	24478	4593
421	24524	4533
422	24577	4473
423	24635	4415
424	24688	4356
425	24738	4297
426	24786	4237
427	24850	4180
428	24897	4120
429	24950	4061
430	25013	4004
431	25068	3945
432	25116	3886
433	25168	3827
434	25218	3768
435	25275	3710
436	25325	3651
437	25380	3592
438	25434	3534
439	25492	3476
440	25544	3417
441	25597	3358
442	25663	3302
443	25710	3242
444	25761	3183
445	25814	3125
446	25873	3067
447	25931	3009
448	25981	2951
449	26032	2892
450	26087	2834
451	26136	2775
452	26195	2717
453	26244	2659
454	26304	2601
455	26354	2542
456	26413	2485
457	26462	2426
458	26518	2368
459	26573	2310
460	26625	2252
461	26679	2194
462	26731	2136
463	26784	2078
464	26834	2019
465	26888	1961
466	26941	1903
467	26999	1846
468	27048	1787
469	27095	1729
470	27160	1672
471	27210	1614
472	27258	1555
473	27315	1498
474	27375	1440
475	27423	1382
476	27474	1324
477	27520	1266
478	27565	1208
