iter	RMSE
0	1250.583658
1	1148.501494
2	1056.048049
3	976.7866813
4	905.9358158
5	841.1659342
6	784.4774755
7	733.4890728
8	686.852684
9	647.170283
10	610.8985043
11	580.3988191
12	552.5944623
13	529.4899811
14	509.5243262
15	491.1335137
16	476.2662724
17	463.3337807
18	452.0750396
19	441.6334506
20	433.0798918
21	426.4080733
22	420.7682107
23	414.6558662
24	410.2638695
25	406.1741306
26	402.9843537
27	400.4208356
28	397.8862211
29	395.8155749
30	393.867506
31	392.1611001
32	390.7400746
33	389.5828278
34	388.7513564
35	387.6191164
36	386.930193
37	386.2832394
38	385.6576586
39	385.1342116
40	384.38695
41	383.7819022
42	383.396652
43	382.8022417
44	382.3426473
45	381.9323046
46	381.5770418
47	381.1535319
48	380.5881237
49	380.2699748
50	379.8942126
51	379.6633101
52	379.3666804
53	379.171433
54	378.8937088
55	378.7534425
56	378.4923647
57	378.2701848
58	378.0995376
59	377.8040321
60	377.5860132
61	377.5158296
62	377.4261722
63	377.1415871
64	376.9192388
65	376.6402531
66	376.4423069
67	376.0585331
68	375.601888
69	375.4533061
70	375.336231
71	375.2029491
72	375.1375254
73	375.1292194
74	374.8729037
75	374.6798713
76	374.3468207
77	374.0102762
78	373.8176245
79	373.4199626
80	373.359638
81	373.2417626
82	373.0368569
83	372.730485
84	372.6693861
85	372.400143
86	372.1120862
87	371.7697035
88	371.4375151
89	371.195862
90	370.9578226
91	370.8381618
92	370.4930069
93	370.1963049
94	369.7341366
95	369.4126963
96	369.2815895
97	369.1714375
98	369.0167395
99	368.7253296
100	368.4571563
101	368.1961208
102	368.0138761
103	367.7733282
104	367.4338364
105	367.1994028
106	367.007768
107	366.8635746
108	366.4933813
109	366.3047017
110	366.1134767
111	365.7857059
112	365.6282387
113	365.4312152
114	365.3118664
115	365.0561424
116	364.7892334
117	364.6351956
118	364.3873609
119	364.1970973
120	363.8117579
121	363.5249431
122	363.3670981
123	363.0741389
124	362.7703779
125	362.6292859
126	362.3671341
127	362.073296
128	361.9780182
129	361.768838
130	361.5539453
131	361.3101831
132	361.1579563
133	360.8668177
134	360.6914008
135	360.5723059
136	360.4417998
137	360.2581253
138	359.9864778
139	359.7197312
140	359.7134208
141	359.4601618
142	359.3303472
143	359.1466427
144	358.8860047
145	358.7331128
146	358.7231009
147	358.5633604
148	358.3579963
149	358.0417427
150	357.8752231
151	357.7282964
152	357.4365031
153	357.1503745
154	356.973662
155	356.763904
156	356.5979039
157	356.372289
158	356.2257658
159	356.2168209
160	356.1775222
161	356.0911721
162	355.9036618
163	355.6752747
164	355.4556021
165	355.3262457
166	355.1225968
167	354.9383154
168	354.6514137
169	354.6294914
170	354.3402825
171	354.3322368
172	353.9912453
173	353.7197217
174	353.6836231
175	353.6530265
176	353.5251409
177	353.2201375
178	352.9955907
179	352.7312102
180	352.7173001
181	352.4546253
182	352.3367278
183	352.2182374
184	351.9072383
185	351.6554303
186	351.3970639
187	351.2434867
188	351.1451957
189	350.9379811
190	350.7720669
191	350.5692566
192	350.2624476
193	350.115239
194	349.9816969
195	349.9703083
196	349.7507431
197	349.5931757
198	349.5728261
199	349.4733287
